city;neighbourhood;street;price;House No.;Flat No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Unique item number (RC number);Object
Vilnius;Grigiškės;Vilniaus g.;"Price decreased 0,2%
65 900 € (1 544 €/m²)";55;;42,69 m²;2;3;4;1965;Brick;Central;Fully equipped;;;Balcony Cellar;Bath;Code door lock;380 m;470 m;290 m;250 m;3;;
Vilnius;Justiniškės;Justiniškių g.;"Price decreased 2%
149 999 € (2 027 €/m²)";103;;74 m²;3;4;16;1986;Monolithic;Central;Fully equipped;;Separate bathroom and WC;Storeroom Balcony;Kitchen furniture Stove Dish washer;Code door lock;210 m;290 m;200 m;150 m;13;;
Vilnius;Senamiestis;Vingrių g.;"Price increased 1%
241 900 € (6 203 €/m²)";1;;39 m²;2;2;3;2017 construction, 2017 renovation;Brick;Gas;Fully equipped;;;;;;300 m;240 m;220 m;40 m;31;;
Vilnius;Viršuliškės;Viršilų g.;169 000 € (4 122 €/m²);6;;41 m²;2;16;21;2023;Monolithic;Central thermostat;Fully equipped;;;;;;380 m;280 m;680 m;190 m;12;;
Vilnius;Burbiškės;Burbiškių g.;185 000 € (3 190 €/m²);52;;58 m²;2;2;3;2013;Brick;Gas;Fully equipped;;Private yard Kitchen merged with room;Balcony Parking space;Refrigerator Kitchen furniture Stove Dish washer Shower;Steel doors Code door lock Video surveillance;1,6 km;600 m;1,1 km;520 m;1;;
Vilnius;Šiaurės miestelis;Ulonų g.;"Price increased 5,4%
195 000 € (3 263 €/m²)";3;;59,77 m²;2;7;9;2009;Brick;Central;Fully equipped;;Internet;Balcony;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Bath;Code door lock;120 m;510 m;120 m;30 m;"57,38 €/month
~ 0,96 €/m²";;
Vilnius;Pilaitė;Nidos g.;"Price decreased 1,5%
135 000 € (2 661 €/m²)";;;50,74 m²;2;2;9;2015;Monolithic;Central thermostat;Fully equipped;;;Storeroom Balcony Closet;Refrigerator Kitchen furniture Stove Dish washer;Steel doors Code door lock Video surveillance;280 m;280 m;130 m;200 m;6;;
Vilnius;Naujamiestis;Skroblų g.;"Price decreased 5,8%
145 000 € (2 571 €/m²)";17;;56,39 m²;3;3;5;1961;Brick;Central;Fully equipped;;Kitchen merged with room;Storeroom Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove;Steel doors;130 m;210 m;240 m;190 m;"88,53 €/month
~ 1,57 €/m²";;
Vilnius;Fabijoniškės;Vėtrungių g.;"Price decreased 4,7%
102 000 € (2 757 €/m²)";73;;37 m²;1;4;9;2005;Block house;Central thermostat;Fully equipped;;Has elevator;;;;640 m;570 m;200 m;140 m;10;;
Vilnius;Santariškės;M. Bukšos g.;299 000 € (3 107 €/m²);;;96,22 m²;4;2;2;2016;Brick;Geothermal;Fully equipped;;Private entrance High ceiling Two-floor flat New sewage system New electrical installation Private yard Internet Cable television;Terrace Sauna Parking space Closet;Furniture Refrigerator Floor heating system Kitchen furniture Stove Fireplace Dish washer Shower Bath;;310 m;1,8 km;230 m;420 m;3;;
Vilnius;Pilaitė;Gilužio g.;99 900 € (2 498 €/m²);4;;40 m²;1;5;6;2006;Brick;Central;Fully equipped;;Kitchen merged with room;Balcony Cellar;Washing machine Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;340 m;190 m;140 m;300 m;"30,00 €/month
~ 0,75 €/m²";;
Vilnius;Žirmūnai;Riterių g.;159 999 € (4 066 €/m²);10;;39,35 m²;2;3;7;2024;Monolithic;Central thermostat;Fully equipped;;Private entrance New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Bath;Steel doors Code door lock Video surveillance;310 m;560 m;480 m;110 m;6;;
Vilnius;Senamiestis;M. Daukšos g.;"Price decreased 8,7%
200 000 € (2 996 €/m²)";3;;66,75 m²;4;1;3;1940 construction, 2015 renovation;Brick;Gas;Not equipped;;Private entrance High ceiling Private yard Kitchen merged with room;Storeroom Cellar Parking space;;;180 m;90 m;210 m;80 m;35;;
Vilnius;Naujamiestis;Kauno g.;122 000 € (3 757 €/m²);25;;32,47 m²;1;9;9;1978;Brick;Central;Fully equipped;;New sewage system;Storeroom Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Bath;Code door lock;400 m;310 m;130 m;50 m;"22,40 €/month
~ 0,69 €/m²";;
Vilnius;Pašilaičiai;Ukmergės g.;"Price decreased 3%
192 000 € (2 207 €/m²)";306A;;87 m²;3;5;6;2002;Brick;Gas;Fully equipped;;;;;;160 m;430 m;170 m;250 m;19;;
Vilnius;Žirmūnai;Riterių g.;135 000 € (4 500 €/m²);10;;30 m²;1;3;7;2023;Block house;Central thermostat;Fully equipped;;;;;;310 m;560 m;480 m;110 m;6;;
Vilnius;Lazdynai;Architektų g.;126 500 € (2 691 €/m²);109;52;47 m²;2;3;5;1978;Monolithic;Central;Fully equipped;;New sewage system New electrical installation;Storeroom Balcony;Furniture Refrigerator Kitchen furniture Stove Dish washer Shower;Steel doors Code door lock;300 m;270 m;180 m;70 m;"47,94 €/month
~ 1,02 €/m²";;
Vilnius;Justiniškės;Mozūriškių g.;174 900 € (2 897 €/m²);200;37;60,38 m²;3;1;2;2023;Brick;Aerothermal;Partially equipped;A++;Private entrance High ceiling Two-floor flat Separate bathroom and WC New sewage system Private yard Internet Kitchen merged with room;Terrace;;Video surveillance;490 m;490 m;580 m;570 m;0;;
Vilnius;Lazdynėliai;Lietaus g.;119 000 € (3 132 €/m²);10;47;38 m²;2;2;4;2024;Brick;Central thermostat;Partially equipped;;;;;;460 m;1,5 km;190 m;150 m;0;;
Vilnius;Pilaitė;M. Mažvydo g.;"Price increased 0,7%
152 000 € (2 599 €/m²)";30;12;58,48 m²;3;2;8;2023;Block house;Central thermostat;Partially equipped;;;;;;380 m;550 m;310 m;130 m;7;;
Vilnius;Žirmūnai;Kareivių g.;152 978 € (3 319 €/m²);2E;4-11;46,09 m²;2;4;9;2024;Block house;Central thermostat;Partially equipped;;New sewage system New electrical installation;;;Steel doors Code door lock Video surveillance;320 m;630 m;490 m;170 m;8;;
Vilnius;Senamiestis;Paupio g.;582 000 € (7 495 €/m²);58;B332;77,65 m²;3;3;4;2024;Brick;Central thermostat;Fully equipped;;Two-floor flat Separate bathroom and WC New sewage system New electrical installation Private yard Kitchen merged with room;Balcony;Conditioner Washing machine Refrigerator Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Code door lock Video surveillance;660 m;530 m;250 m;70 m;5;;
Vilnius;Naujamiestis;Panerių g.;198 198 € (4 290 €/m²);12;102B;46,2 m²;3;1;2;2023;Brick;Geothermal;Partially equipped;A++;Private entrance Two-floor flat;Terrace;;;570 m;390 m;350 m;280 m;34;;
Vilnius;Šiaurės miestelis;Kareivių g.;144 410 € (3 396 €/m²);5;3-10;42,52 m²;2;3;8;2024;Other;Central thermostat;Partially equipped;;New sewage system New electrical installation;Balcony;;Steel doors Code door lock Video surveillance;250 m;290 m;270 m;150 m;8;;
Vilnius;Pilaitė;M. Mažvydo g.;130 000 € (2 758 €/m²);;;47,13 m²;3;2;5;2024;Block house;Central thermostat;Partially equipped;A++;Has elevator New sewage system New electrical installation Kitchen merged with room;Storeroom Balcony Parking space;Floor heating system Recuperation;Steel doors Code door lock;440 m;620 m;360 m;160 m;5;;
Vilnius;Šeškinė;Laisvės pr.;289 600 € (3 719 €/m²);45A;;77,88 m²;3;4;9;2023;Brick;Central thermostat;Fully equipped;A+;;Balcony;Floor heating system;Steel doors Video surveillance;0 m;270 m;450 m;160 m;"63,86 €/month
~ 0,82 €/m²";;
Vilnius;Šeškinė;Šeškinės g.;"Price increased 2,2%
94 000 € (2 765 €/m²)";19;;34 m²;2;5;5;1982;Block house;Central;Fully equipped;;Separate bathroom and WC New electrical installation Kitchen merged with room;Balcony;Conditioner Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;220 m;70 m;490 m;140 m;"25,16 €/month
~ 0,74 €/m²";;
Vilnius;Žirmūnai;Kareivių g.;93 736 € (2 799 €/m²);2G;;33,49 m²;2;3;3;2025;Brick;Central thermostat;Partially equipped;A+;;;Floor heating system;;270 m;610 m;400 m;250 m;8;;
Vilnius;Naujamiestis;J. Basanavičiaus g.;455 000 € (7 660 €/m²);28;;59,4 m²;2;1;4;1912 construction, 2025 renovation;Brick;Central thermostat;Partially equipped;;Has elevator High ceiling New sewage system New electrical installation Private yard;Terrace;;Code door lock Video surveillance;230 m;270 m;260 m;40 m;16;;
Vilnius;Šnipiškės;Linkmenų g.;237 100 € (4 101 €/m²);4;;57,82 m²;3;2;7;2024;Brick;Central thermostat;Partially equipped;A++;Private yard Kitchen merged with room;Parking space;;Steel doors Code door lock;540 m;140 m;610 m;60 m;21;;
Vilnius;Šnipiškės;Kalvarijų g.;209 900 € (3 896 €/m²);55;B3-3;53,87 m²;3;3;7;2023;Brick;Central thermostat;Partially equipped;A++;Private yard Kitchen merged with room;Storeroom Balcony Parking space;Conditioner Recuperation;Steel doors Code door lock Video surveillance;120 m;400 m;40 m;90 m;20;;
Vilnius;Pilaitė;Karaliaučiaus g.;"Price decreased 1,2%
163 500 € (3 006 €/m²)";3D;B-2-4;54,4 m²;2;2;8;2022;Brick;Central thermostat;Fully equipped;;;Balcony;Floor heating system;Steel doors;100 m;200 m;360 m;130 m;4;;
Vilnius;Naujamiestis;Smolensko g.;73 298 € (4 350 €/m²);12;2-9;16,85 m²;1;2;7;2023;Brick;Central thermostat;Fully equipped;;;;Furniture Floor heating system Kitchen furniture Stove Shower Recuperation;Steel doors Code door lock;250 m;100 m;140 m;230 m;24;;
Vilnius;Karoliniškės;Rolando Jankausko g.;105 000 € (1 680 €/m²);;;62,5 m²;3;12;12;1974;Block house;Central;Fully equipped;;Separate bathroom and WC Internet Cable television;Storeroom Balcony;Furniture;Steel doors Code door lock;540 m;260 m;130 m;70 m;14;;
Vilnius;Naujamiestis;Algirdo g.;769 227 € (8 900 €/m²);12;5-21;86,43 m²;3;5;5;2025;Brick;Central thermostat;Partially equipped;A++;;;;;100 m;100 m;190 m;240 m;28;;
Vilnius;Naujamiestis;Naugarduko g.;"Price decreased 7,2%
333 123 € (5 981 €/m²)";50B;;55,7 m²;3;3;8;2020;Brick;Central thermostat;Fully equipped;A++;Internet;Balcony Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Recuperation;Steel doors Code door lock Video surveillance;260 m;330 m;180 m;50 m;"31,19 €/month
~ 0,56 €/m²";;
Vilnius;Šeškinė;Siesikų g.;"215 000 € (5 375 €/m²)
(interested in changing)";14;;40 m²;2;8;10;2020;Brick;Central, electric;Fully equipped;A;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Terrace Attic;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;560 m;450 m;310 m;140 m;"16,40 €/month
~ 0,41 €/m²";;
Vilnius;Baltupiai;Trinapolio g.;"Price decreased 4,8%
59 000 € (3 137 €/m²)";2;;18,81 m²;1;8;12;1974;Brick;Central;Fully equipped;;;;;;260 m;510 m;300 m;130 m;4;;
Vilnius;Pilaitė;Tolminkiemio g.;"Price increased 2,1%
199 000 € (3 023 €/m²)";35;;65,82 m²;3;1;5;2019;Other;Central thermostat;Fully equipped;;Private yard Internet Kitchen merged with room;Terrace Parking space Closet;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors;460 m;460 m;450 m;290 m;"24,35 €/month
~ 0,37 €/m²";;
Vilnius;Šnipiškės;Rinktinės g.;"Price decreased 2,7%
360 000 € (4 615 €/m²)";38B;;78 m²;3;1;9;2014;Brick;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Storeroom Terrace Parking space Closet;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Bath;Steel doors Alarm system Code door lock Video surveillance;80 m;270 m;240 m;280 m;"39,00 €/month
~ 0,50 €/m²";;
Vilnius;Naujininkai;Panevėžio g.;181 283 € (3 481 €/m²);20;2-1;52,08 m²;3;3;5;2024;Monolithic;Central thermostat;Partially equipped;;New electrical installation Kitchen merged with room;Balcony;Recuperation;Steel doors Code door lock Video surveillance;130 m;170 m;50 m;160 m;8;;
Vilnius;Lazdynai;Architektų g.;189 000 € (2 669 €/m²);91;;70,8 m²;3;15;16;1991 construction, 2010 renovation;Monolithic;Central;Fully equipped;;;;;;260 m;150 m;220 m;90 m;"80,00 €/month
~ 1,13 €/m²";;
Vilnius;Žvėrynas;Paribio g.;114 500 € (4 219 €/m²);12;6;27,14 m²;1;1;7;2024;Monolithic;Central thermostat;Partially equipped;;New sewage system New electrical installation Private yard;Balcony Parking space;Floor heating system Recuperation;Steel doors Code door lock Video surveillance;150 m;300 m;490 m;420 m;3;;
Vilnius;Naujamiestis;Panerių g.;69 900 € (4 112 €/m²);45;;17 m²;1;4;4;1987 construction, 2020 renovation;Brick;Electric;Fully equipped;;High ceiling Two-floor flat New sewage system New electrical installation Internet Kitchen merged with room;;Washing machine Furniture Refrigerator Kitchen furniture Stove Recuperation;Steel doors Code door lock;530 m;290 m;340 m;20 m;6;;
Vilnius;Markučiai;Manufaktūrų g.;171 327 € (3 900 €/m²);7;H210;43,93 m²;2;2;6;2024;Other;Central thermostat;Partially equipped;;;;;;290 m;610 m;130 m;310 m;4;;
Vilnius;Šeškinė;Dūkštų g.;89 000 € (2 472 €/m²);2;;36 m²;1;5;5;1979;Block house;Central;Fully equipped;;;Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;Steel doors Code door lock;150 m;370 m;130 m;110 m;23;;
Vilnius;Šeškinė;Gelvonų g.;101 300 € (3 385 €/m²);2A;;29,93 m²;2;2;5;2025;Block house;Central thermostat;Partially equipped;;Has elevator;;;;350 m;300 m;380 m;50 m;31;;
Vilnius;Pašilaičiai;Gileikių g.;101 108 € (3 050 €/m²);15;8;33,15 m²;1;1;5;2025;Brick;Central thermostat;Partially equipped;A++;;Balcony;Floor heating system;Steel doors Code door lock Video surveillance;440 m;620 m;160 m;120 m;12;;
Vilnius;Vilkpėdė;Eigulių g.;265 000 € (4 030 €/m²);5;202;65,76 m²;3;2;6;2025;Monolithic;Central thermostat;Partially equipped;;;;;;800 m;680 m;490 m;400 m;2;;
Vilnius;Pašilaičiai;Edinburgo g.;99 000 € (3 300 €/m²);11;;30 m²;1;2;7;2023;Brick;Electric, central thermostat;Fully equipped;A;Has elevator New sewage system New electrical installation Internet Kitchen merged with room;Storeroom Balcony;Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower Bath Recuperation;Steel doors Code door lock Video surveillance;890 m;1,6 km;1,1 km;170 m;1;;
Vilnius;Naujininkai;Kaminkelio g.;98 000 € (3 042 €/m²);29;;32,22 m²;2;2;5;2024;Brick;Central thermostat;Partially equipped;;Kitchen merged with room;Balcony Parking space;Floor heating system Recuperation;Code door lock Video surveillance;380 m;340 m;300 m;560 m;1;;
Vilnius;Pašilaičiai;Perkūnkiemio g.;"Price decreased 1,4%
143 000 € (2 469 €/m²)";19A;;57,91 m²;2;3;8;2009;Brick;Central thermostat;Fully equipped;B;Private yard Internet Kitchen merged with room;Storeroom Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;140 m;800 m;190 m;30 m;"42,27 €/month
~ 0,73 €/m²";;
Vilnius;Justiniškės;Taikos g.;"Price decreased 6,1%
108 000 € (2 148 €/m²)";71;;50,29 m²;2;4;9;1984;Block house;Central;Fully equipped;;Separate bathroom and WC;Storeroom Balcony Cellar Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;200 m;240 m;330 m;40 m;"67,39 €/month
~ 1,34 €/m²";;
Vilnius;Antakalnis;Švyturio g.;"Price increased 13,3%
153 000 € (3 188 €/m²)";3;;48 m²;2;3;5;1966;Block house;Central;Fully equipped;;;;;;320 m;440 m;140 m;200 m;"46,08 €/month
~ 0,96 €/m²";;
Vilnius;Viršuliškės;Viršilų g.;"Price decreased 1,6%
119 999 € (4 598 €/m²)";6;;26,1 m²;1;7;20;2022;Block house;Central thermostat;Fully equipped;A+;New electrical installation Kitchen merged with room;Balcony Terrace;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;380 m;280 m;680 m;190 m;12;;
Vilnius;Šnipiškės;Kernavės g.;139 000 € (4 575 €/m²);16A;;30,38 m²;1;5;7;2023;Brick;Central thermostat;Fully equipped;A++;New sewage system New electrical installation Internet Kitchen merged with room;Balcony;Floor heating system Plastic pipes Shower Recuperation;Steel doors Code door lock Video surveillance;320 m;460 m;490 m;130 m;15;;
Vilnius;Žirmūnai;Raitininkų g.;"Price decreased 0,9%
315 792 € (5 400 €/m²)";4;122;58,48 m²;2;4;7;2021;Brick;Central thermostat;Fully equipped;A+;Has elevator Private yard Internet;Balcony Closet;;Steel doors Code door lock Video surveillance;520 m;420 m;250 m;180 m;"32,16 €/month
~ 0,55 €/m²";;
Vilnius;Fabijoniškės;Gedvydžių g.;"Price decreased 8,3%
110 000 € (2 221 €/m²)";23;;49,52 m²;2;2;5;1992;Block house;Central;Fully equipped;;;;;;110 m;260 m;170 m;210 m;3;;
Vilnius;Fabijoniškės;Vėtrungių g.;"Price decreased 2,8%
123 900 € (2 338 €/m²)";;;53 m²;2;9;9;2005;Brick;Central thermostat;Fully equipped;;;Balcony Parking space;Washing machine Furniture Refrigerator Kitchen furniture Dish washer Shower;Code door lock;640 m;570 m;200 m;140 m;10;;
Vilnius;Jeruzalė;Mokyklos g.;"Price decreased 2%
119 500 € (2 372 €/m²)";5;;50,39 m²;2;9;9;1994;Brick;Central;Fully equipped;;;Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove;Steel doors Code door lock;660 m;40 m;280 m;160 m;"72,56 €/month
~ 1,44 €/m²";;
Vilnius;Pašilaičiai;Eitminų g.;95 000 € (3 014 €/m²);;;31,52 m²;1;2;9;2011;Brick;Central thermostat;Fully equipped;;Internet Cable television;Balcony Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Bath;Steel doors Code door lock Video surveillance;170 m;820 m;360 m;100 m;7;;
Vilnius;Lazdynai;Architektų g.;"Price decreased 2,5%
117 000 € (1 828 €/m²)";;;64 m²;3;5;5;1971;Block house;Central;Fully equipped;;Separate bathroom and WC New electrical installation Internet;Balcony Cellar Parking space Closet;Washing machine Furniture Kitchen furniture Stove Shower Bath;Steel doors Code door lock;130 m;210 m;260 m;180 m;13;;
Vilnius;Fabijoniškės;Liongino Baliukevičiaus-Dzūko g.;179 990 € (3 158 €/m²);115;;57 m²;3;1;5;2025;Brick;Central thermostat, sun energy;Fully equipped;A++;New sewage system New electrical installation Internet Cable television Kitchen merged with room;Terrace Parking space Closet;Washing machine Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Recuperation;Steel doors Alarm system Code door lock Video surveillance;470 m;370 m;360 m;70 m;5;;
Vilnius;Užupis;Paupio g.;289 500 € (4 488 €/m²);;;64,5 m²;4;2;2;1940;Brick;Gas, solid fuel;Fully equipped;;High ceiling Flat in an attic Two-floor flat Separate bathroom and WC New electrical installation Kitchen merged with room;Storeroom Cellar Closet;Furniture Refrigerator Kitchen furniture Stove Shower;;120 m;380 m;220 m;70 m;9;;
